Licensee,City,State,Call,Frequency,Channel,Non-Directional?,Class,Status,File Number,Effective Radiated Power (Horizontal),Effective Radiated Power (Vertical),Antenna Height Above Average Terrain (Horizontal),Antenna Height Above Average Terrain (Vertical),Facility ID,lat_d,lat_deg,lat_min,lat_sec,lng_d,lng_deg,lng_min,lng_sec,Antenna Height Above Mean Sea Level (Horizontal),Antenna Height Above Mean Sea Level (Vertical),Antenna ID #,Pattern Rotation,ASRN,Antenna Height Above Ground Level,CDBS ID #
-                                                                           ,MONTERREY                ,NL ,XHQIFM      ,102.1 MHz ,271,ND  ,C  ,OPER   ,-      --           ,99.6   kW ,0.     kW ,-136,0,95661,N ,25,37,34,W ,100,19,11,0.     m,0.0    m,-         ,-       ,-       ,0.     m,296147
MINNESOTA PUBLIC RADIO                                                      ,WORTHINGTON-MARSHALL     ,MN ,KNSW        ,91.7  MHz ,219,ND  ,C1 ,LIC    ,BMLED  -19931019KC  ,99.    kW ,99.    kW ,243,243,42947,N ,43,53,1,W ,95,55,44,758.   m,758.0  m,-         ,-       ,1024631,200.   m,191012
"WRD ENTERTAINMENT, INC.                                                     ",BATESVILLE               ,AR ,KZLE        ,93.1  MHz ,226,ND  ,C1 ,LIC    ,BLH    -20030508ACQ ,99.    kW ,99.    kW ,300,300,72262,N ,35,53,29,W ,91,43,31,465.   m,465.0  m,-         ,-       ,1009325,209.   m,657275
KBUF PARTNERSHIP                                                            ,LEOTI                    ,KS ,KWKR        ,99.9  MHz ,260,ND  ,C1 ,LIC    ,BLH    -19930623KB  ,99.    kW ,99.    kW ,121,121,67042,N ,38,16,39,W ,101,17,50,1110.  m,1110.0 m,-         ,-       ,-       ,116.   m,187512
"KANZA, INC.                                                                 ",CARROLLTON               ,MO ,KMZU        ,100.7 MHz ,264,ND  ,C1 ,LIC    ,BLH    -19900917KA  ,99.    kW ,99.    kW ,302,302,33386,N ,39,21,59,W ,93,24,12,516.   m,516.0  m,-         ,-       ,-       ,272.   m,152407
"KJUL LICENSE, LLC                                                           ",BOULDER CITY             ,NV ,KCYE        ,102.7 MHz ,274,ND  ,C  ,LIC    ,BLH    -20010709ABU ,99.    kW ,99.    kW ,603,603,57281,N ,35,56,46,W ,115,2,34,1390.  m,1390.0 m,-         ,-       ,1020486,73.    m,572807
"JAMES RIVER BROADCASTING, INC.                                              ",WIMBLEDON                ,ND ,KRVX        ,103.1 MHz ,276,ND  ,C1 ,LIC    ,BLH    -20051026ACF ,99.    kW ,99.    kW ,144,144,164198,N ,46,56,21,W ,98,18,30,587.   m,587.0  m,-         ,-       ,1246608,142.   m,1091999
WILKS LICENSE COMPANY-LUBBOCK LLC                                           ,TULIA                    ,TX ,KBTE        ,104.9 MHz ,285,ND  ,C1 ,LIC    ,BMLH   -20051013AAC ,99.    kW ,99.    kW ,298,298,1302,N ,33,57,35,W ,101,35,20,1286.  m,1286.0 m,-         ,-       ,1239447,286.   m,1091937
"IDA-VEND COMPANY, INC.                                                      ",LEWISTON                 ,ID ,KMOK        ,106.9 MHz ,295,ND  ,C  ,LIC    ,BLH    -19830321AW  ,99.    kW ,99.    kW ,375,375,28214,N ,46,27,33,W ,117,2,18,962.   m,962.0  m,-         ,-       ,-       ,84.    m,54591
"CC LICENSES, LLC                                                            ",PASCAGOULA               ,MS ,WKNN-FM     ,99.1  MHz ,256,DA  ,C1 ,LIC    ,BLH    -20020226ACB ,99.    kW ,97.3   kW ,300,300,61367,N ,30,29,9,W ,88,42,53,308.   m,308.0  m,33637,0,1040515,297.   m,595560
